"date","open","high","low","close"
"2021-05-27","109.15","109.92","109.03","109.84"
"2021-05-26","108.78","109.18","108.72","109.15"
"2021-05-25","108.75","109.07","108.57","108.78"
"2021-05-24","108.92","109.00","108.69","108.76"
"2021-05-21","108.78","109.01","108.61","108.95"
"2021-05-20","109.22","109.31","108.75","108.78"
"2021-05-19","108.89","109.33","108.57","109.22"
"2021-05-18","109.23","109.28","108.84","108.89"
"2021-05-17","109.29","109.50","109.07","109.23"
"2021-05-14","109.53","109.65","109.21","109.35"
"2021-05-13","109.68","109.78","109.41","109.47"
"2021-05-12","108.62","109.71","108.58","109.70"
"2021-05-11","108.83","108.98","108.36","108.62"
"2021-05-10","108.64","109.06","108.47","108.84"
"2021-05-07","109.09","109.29","108.34","108.58"
"2021-05-06","109.20","109.43","109.00","109.08"
"2021-05-05","109.33","109.48","109.15","109.20"
"2021-05-04","109.08","109.49","109.03","109.30"
"2021-05-03","109.26","109.70","108.90","109.07"
"2021-04-30","108.92","109.36","108.71","109.33"
"2021-04-29","108.60","109.22","108.44","108.92"
"2021-04-28","108.69","109.08","108.56","108.60"
"2021-04-27","108.09","108.78","108.08","108.73"
"2021-04-26","107.94","108.19","107.65","108.09"
"2021-04-23","107.97","108.14","107.47","107.88"
"2021-04-22","108.08","108.23","107.83","107.97"
"2021-04-21","108.10","108.28","107.88","108.06"
"2021-04-20","108.14","108.55","107.98","108.08"
"2021-04-19","108.78","108.83","108.01","108.14"
"2021-04-16","108.77","108.96","108.61","108.81"
"2021-04-15","108.94","109.00","108.62","108.76"
"2021-04-14","109.06","109.09","108.75","108.95"
"2021-04-13","109.38","109.75","109.02","109.06"
"2021-04-12","109.67","109.78","109.25","109.38"
"2021-04-09","109.26","109.96","109.20","109.67"
"2021-04-08","109.85","109.91","109.00","109.27"
"2021-04-07","109.75","109.94","109.59","109.84"
"2021-04-06","110.19","110.56","109.68","109.74"
"2021-04-05","110.72","110.74","109.97","110.18"
"2021-04-02","110.61","110.75","110.38","110.70"
"2021-04-01","110.72","110.85","110.55","110.60"
"2021-03-31","110.36","110.97","110.28","110.72"
"2021-03-30","109.81","110.42","109.75","110.35"
"2021-03-29","109.61","109.85","109.38","109.82"
"2021-03-26","109.19","109.84","109.14","109.67"
"2021-03-25","108.73","109.24","108.72","109.19"
"2021-03-24","108.58","108.94","108.45","108.73"
"2021-03-23","108.84","108.88","108.41","108.58"
